,Gross domestic product 2014,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
TMP,174,,Timor-Leste," 1,552 ",,,,,
SYC,175,,Seychelles," 1,406 ",,,,,
LCA,176,,St. Lucia," 1,365 ",,,,,
ATG,177,,Antigua and Barbuda," 1,269 ",,,,,
SLB,178,,Solomon Islands," 1,158 ",,,,,
GNB,179,,Guinea-Bissau," 1,022 ",,,,,
GRD,180,,Grenada, 882 ,,,,,
KNA,181,,St. Kitts and Nevis, 833 ,,,,,
GMB,182,,"Gambia, The", 807 ,,,,,
VUT,183,,Vanuatu, 802 ,,,,,
WSM,184,,Samoa, 801 ,,,,,
VCT,185,,St. Vincent and the Grenadines, 729 ,,,,,
COM,186,,Comoros, 648 ,,,,,
DMA,187,,Dominica, 538 ,,,,,
TON,188,,Tonga, 434 ,,,,,
STP,189,,São Tomé and Principe, 335 ,,,,,
FSM,190,,"Micronesia, Fed. Sts.", 316 ,,,,,
PLW,191,,Palau, 251 ,,,,,
MHL,192,,Marshall Islands, 191 ,,,,,
KIR,193,,Kiribati, 167 ,,,,,
TUV,194,,Tuvalu, 38 ,,,,,
,,,,,,,,,
ASM,,,American Samoa,..,,,,,
ABW,,,Aruba,..,,,,,
CYM,,,Cayman Islands,..,,,,,
CHI,,,Channel Islands,..,,,,,
CUW,,,Curaçao,..,,,,,
PYF,,,French Polynesia,..,,,,,
GRL,,,Greenland,..,,,,,
GUM,,,Guam,..,,,,,
IMY,,,Isle of Man,..,,,,,
PRK,,,"Korea, Dem. Rep.",..,,,,,
MCO,,,Monaco,..,,,,,
NCL,,,New Caledonia,..,,,,,
MNP,,,Northern Mariana Islands,..,,,,,
SMR,,,San Marino,..,,,,,
SXM,,,Sint Maarten (Dutch part),..,,,,,
SOM,,,Somalia,..,,,,,
MAF,,,St. Martin (French part),..,,,,,
SYR,,,Syrian Arab Republic,..,,,,,
TCA,,,Turks and Caicos Islands,..,,,,,
VIR,,,Virgin Islands (U.S.),..,,,,,
,,,,,,,,,
WLD,,,World,"77,868,768",,,,,
,,,,,,,,,
LIC,,,Low income,"397,410",,,,,
MIC,,,Middle income,"24,597,320",,,,,
LMC,,,  Lower middle income,"5,780,293",,,,,
UMC,,,  Upper middle income,"18,808,332",,,,,
LMY,,,Low & middle income,"24,996,779",,,,,
EAP,,,  East Asia & Pacific,"12,571,283",,,,,
ECA,,,  Europe & Central Asia,"1,811,043",,,,,
LAC,,,  Latin America & Caribbean,"4,763,935",,,,,
MNA,,,  Middle East & North Africa,"1,522,606",,,,,
SAS,,,  South Asia,"2,607,871",,,,,
SSA,,,  Sub-Saharan Africa,"1,712,424",,,,,
HIC,,,High income,"52,906,699",,,,,
EMU,,,  Euro area,"13,402,747",,,,,
,,,,,,,,,
,.. Not available.  ,,,,,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2013 or 2012.,,,,,,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to",,,,,,,,
,make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  ,,,,,,,,
,b. Includes Former Spanish Sahara.  c. Covers mainland Tanzania only. d. Data are for the area controlled by the government of Cyprus.,,,,,,,,
,e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
